Ant is Monster,ant,ant.bgf
AvarShaman is Monster,kyip-kyip-kreeet avar shaman,avsham.bgf
Avar is Monster,kyip-kyip-kreeet avar warrior,avwar.bgf
LivingStatue is Monster,living statue,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
Ent is Monster,living tree,res0003a.bgf
Lupogg is Monster,lupogg,lupogg.bgf
LupoggKing is Monster,lupogg king,lupking.bgf
flytrap is Monster,Man-eating Plant,ent.bgf
ma'xeochicatl,ma'xeochicatl,xeo.bgf
Iceperson is Monster,melting ice,iceperX.bgf
MolluskMonster is Monster,mollusk creature,mollusk.bgf
Mummy is Monster,mummy,mummy.bgf
RedAnt is Monster,mutant ant,antr.bgf
NarthylWorm is Monster,narthyl worm,darkbeas.bgf
NecromancerTroop is FactionTroop,necromancer,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
Orc is Monster,orc,orc.bgf
OrcPitBoss is Monster,orc pit boss,OrcPitB.bgf
OrcWizard is Monster,orc wizard,orcwiza.bgf
Brambles is Monster,patch of bramble,wothorns.bgf
AvarChieftain is Monster,peet-seeeep avar chieftain,avchief.bgf
AvarShaman is Monster,peet-seeeep avar shaman,avsham.bgf
Avar is Monster,peet-seeeep avar warrior,avwar.bgf
DragonFlyPet is Monster,pet dragonfly,dflypet.bgf
Priestess is Monster,priestess,priestes.bgf
SpiderQueen is Monster,queen spider,spdrqu.bgf
Lich is Monster,Queen Venya'cyr,licha.bgf
RebelTroop is FactionTroop,rebel soldier,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
Reflection is Monster,reflection,btg.bgf
Revenant is Monster,revenant,zombie.bgf
ro'xeochicatl,ro'xeochicatl,xeo.bgf
shadow mummy,shadow mummy,mummy.bgf
Shadowbeast is Monster,shadowbeast,shadow.bgf
Skeleton is Monster,skeleton,skelbody.bgf|skelhed2.bgf
Slime is Monster,slime,amoeba.bgf
SnowRat is Monster,snow rat,srat.bgf
DukeTroop is FactionTroop,soldier of the Duke's army,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
PrincessTroop is FactionTroop,soldier of the Princess' army,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
SpectralMummy is Monster,spectral mummy,mummy.bgf
Spider is Monster,spider,spider.bgf
LivingStatue is Monster,statue,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
StoneTroll is Monster,stone troll,Troll.bgf
Lich is Monster,The ghost of Queen Venya'cyr,licha.bgf
Brambles is Monster,the ruins of some bramble,wothorns.bgf
the town guard,the town guard,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
Thief is Monster,Thief,thiefT.bgf
Thrasher is Monster,thrasher,res0001a.bgf
town guard,town guard,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
Troll is Monster,troll,troll.bgf
tusked skeleton,tusked skeleton,skelbody.bgf|skelhed1.bgf
ve'xeochicatl,ve'xeochicatl,xeo.bgf
Yeti is Monster,yeti,yeti.bgf
Zombie is Monster,zombie,zombie.bgf
